Team,Year,Rank,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight
New Mexico,2012,21,A.J. Hardeman,35,21.5,4.6,3.4,0.6,0.5,0.5,1.4,0.492,0.444,0,F,0,70,235
Baylor,2012,9,A.J. Walton,38,20.3,3.8,2.8,2.8,1.3,0.1,2,0.317,0.746,0.189,G,0,73,184
Ohio State,2011,1,Aaron Craft,37,29.6,6.9,2.9,4.8,2,0.1,2.1,0.461,0.727,0.377,PG,0,74,195
Ohio State,2012,7,Aaron Craft,39,32.2,8.8,3.2,4.6,2.5,0.2,2.2,0.5,0.713,0.359,PG,0,74,195
Ohio State,2013,7,Aaron Craft,37,34.1,10,3.6,4.6,2.1,0.2,1.9,0.417,0.768,0.3,PG,0,74,195
Ohio State,2014,22,Aaron Craft,35,34.4,9.8,3.6,4.7,2.5,0.1,2.6,0.473,0.741,0.302,PG,0,74,195
Arizona,2014,4,Aaron Gordon,38,31.2,12.4,8,2,0.9,1,1.4,0.495,0.422,0.356,PF,1,81,220
Kentucky,2015,1,Aaron Harrison,39,25.8,11,2.6,1.4,1.1,0.2,0.9,0.395,0.782,0.316,SG,0,78,210
Washington,2011,23,Abdul Gaddy,13,23.2,8.5,2.5,3.8,0.8,0.1,1.2,0.5,0.818,0.406,PF,0,75,185
Michigan,2012,13,Adonis Thomas,36,29.3,11.7,4.5,1.9,0.7,0.7,1.6,0.405,0.752,0.292,SG,0,79,240
Michigan State,2013,9,Adreian Payne,36,25.6,10.5,7.6,0.8,0.8,1.3,1.8,0.546,0.848,0.381,PF,1,82,245
Michigan State,2014,11,Adreian Payne,31,28.1,16.4,7.3,1.3,0.5,0.9,2,0.503,0.79,0.423,PF,1,82,245
Arkansas,2015,21,Alandise Harris,35,21.4,7.6,3.3,1.5,0.8,1,1.2,0.475,0.722,0.281,F,0,78,230
Butler,2015,24,Alex Barlow,34,33.9,8.9,4,2.6,2.2,0.1,1.9,0.403,0.836,0.373,G,0,71,187
New Mexico,2013,10,Alex Kirk,35,29.1,12.1,8.1,0.5,0.4,1.8,1.5,0.494,0.715,0.277,C,0,84,245
