Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Duke,2011,Kyrie Irving,11,27.5,17.5,3.4,4.3,1.5,0.5,2.5,0.529,0.901,0.462,PG,Y,75,193,0.39292801,0.086374736,0.086584653,0.552770798,2.32210182,0.041653521,1.946185744,1.689362668,1.991763212,9.02641812
Iowa State,2015,Mont Morris,34,33.9,11.9,3.4,5.2,1.9,0.4,1.1,0.507,0.753,0.395,G,N,74,170,0.961674172,0.458224146,1.822263862,2.161779524,1.082889165,-0.430698738,1.474385153,-0.198395027,0.328615397,8.52213513
Missouri,2012,Marcus Denmon,35,34.6,17.7,5,2.1,1.5,0,1.2,0.46,0.896,0.407,G,N,75,185,2.598817167,2.067098242,-0.296733671,1.529566014,-1.346438415,-0.696810573,0.515287671,1.625156472,0.820624855,8.210188907
Kansas,2013,Travis Releford,37,33.8,11.9,3.8,2.6,1.3,0.2,1.6,0.574,0.789,0.415,G,N,78,210,0.913662042,0.573351648,-0.154412841,0.697589432,0.217910537,0.039090345,3.784799881,0.840570576,1.279943532,8.114324463
Indiana,2013,Victor Oladipo,36,28.4,13.6,6.3,2.1,2.2,0.8,2.3,0.599,0.746,0.441,SG,Y,76,210,0.312560617,1.609117209,1.065564273,2.411212789,1.781259996,1.584363006,1.840887076,-0.47356804,0.961230476,7.923901392
Georgetown,2013,Otto Porter Jr.,31,35.4,16.2,7.5,2.7,1.8,0.9,1.5,0.48,0.777,0.422,SF,Y,80,198,0.684409527,0.993327046,0.880444022,1.505706123,1.341640786,-0.981367343,0.423824941,0.033010883,0.635545323,7.479275994
Wichita State,2014,Fred VanVleet,36,31.7,11.6,3.9,5.4,1.9,0.1,1.3,0.484,0.83,0.418,G,N,72,195,0.606539643,0.423708288,1.702872904,1.741895955,-0.482555925,-0.154138441,1.717755919,0.86524045,0.673826827,7.403422502
BYU,2011,Jackson Emery,37,32.5,12.5,3.5,2.6,2.7,0.2,0.9,0.427,0.829,0.361,G,N,75,190,0.968897121,0.60910959,0.098133922,2.861116585,0.409622097,-1.256624239,-0.096100619,0.915462669,0.074137616,7.097003219
Marquette,2012,Jae Crowder,35,32.9,17.5,8.4,2.1,2.5,1,1.3,0.498,0.735,0.345,SF,Y,78,235,1.25036626,0.956676782,0.597391263,2.022055805,0.652366523,-0.512135892,0.211117048,0.098830794,0.113747298,6.414687664
Marquette,2012,Jae Crowder,35,32.9,17.5,8.4,2.1,2.5,1,1.3,0.498,0.735,0.345,SF,Y,78,235,1.25036626,0.956676782,0.597391263,2.022055805,0.652366523,-0.512135892,0.211117048,0.098830794,0.113747298,6.414687664
Kentucky,2012,Anthony Davis,40,32,14.2,10.4,1.3,1.4,4.7,1,0.623,0.709,0.15,PF,Y,72,220,0.202721214,0.806096894,-0.355617351,1.293872924,2.167482202,-1.452546078,1.664881553,0.035781774,-0.900675997,6.36708929
Missouri,2012,Kim English,35,33.6,14.5,4.2,1.6,1.3,0.3,1.7,0.521,0.725,0.459,SG,Y,78,200,0.442931569,1.014395347,-0.577089084,0.765796843,1.49214688,-0.012922442,2.137051469,-0.511134633,1.134369549,5.911390382
Notre Dame,2015,Demetrius Jackson,38,34.7,12.4,3.6,3.1,1.6,0.3,1.5,0.508,0.745,0.429,G,N,73,198,1.155155563,0.671535386,0.270877061,1.422943484,0.4608039,0.385362029,1.497224166,-0.309702367,1.088486768,5.871961931
Wichita State,2014,Ron Baker,36,29.9,13.1,3.8,3.1,1.4,0.6,1.7,0.456,0.842,0.38,G,N,76,220,1.067651653,0.356122917,0.02248017,0.609663584,2.504695038,0.574516009,0.832740838,1.006209129,0.034306265,5.859353585
Baylor,2012,Quincy Acy,38,29.7,12,7.4,1,0.9,1.8,1.9,0.577,0.782,0.6,SF,Y,79,240,-0.320832116,0.483794722,-0.75859208,-0.466628263,2.437790692,0.539090412,1.793724411,1.072792325,2.067489753,5.770449034
Northern Iowa,2015,Seth Tuttle,35,30.4,15.3,6.9,3.3,0.9,0.6,2.8,0.604,0.764,0.432,F,N,80,240,1.311301074,0.747965971,2.332393294,1.12581147,-0.378668254,2.446646358,0.828597309,0.832505992,1.316138515,5.669399013
Iowa State,2014,Melvin Ejim,34,32.1,17.8,8.4,1.8,1.2,0.7,2.3,0.505,0.761,0.346,F,N,78,220,1.566193866,1.71977761,0.499350227,1.752947437,0.206010481,1.336430511,-0.434036144,1.120208643,0.438242933,5.532264542
Duke,2013,Quinn Cook,36,33.6,11.7,3.8,5.3,1.4,0.1,2.2,0.416,0.877,0.393,G,N,74,185,0.847323544,0.573351648,1.883836657,0.992723423,-0.466951152,1.07107546,-0.200648282,2.128026774,0.785535975,5.472123127
Ohio State,2011,William Buford,36,32.4,14.4,3.9,2.9,0.8,0.3,1.8,0.462,0.843,0.442,G,N,78,220,1.517874615,0.989803084,0.466136127,-0.440171782,1.177663528,1.201988402,0.759032009,1.066600373,1.121546961,5.456496514
Iowa State,2014,DeAndre Kane,36,34.4,17.1,6.8,5.9,1.2,0.3,2.9,0.483,0.635,0.398,G,N,76,200,2.297283678,2.383684047,2.068175672,0.156770636,0.71234446,2.760479361,1.686148238,-1.425500584,0.337237057,5.455663843
Michigan,2013,Trey Burke,39,35.3,18.6,3.2,6.7,1.6,0.5,2.2,0.463,0.801,0.384,PG,Y,73,185,1.131408252,-0.172393296,1.44742918,-0.801783726,1.01389375,-0.486664263,1.001355509,0.162002014,0.983045558,5.251621505
Florida State,2012,Michael Snaer,35,30.4,14,3.8,1.9,1.1,0.4,2.1,0.436,0.846,0.404,G,N,77,202,1.520062871,0.824014106,-0.440209293,0.183547922,2.038892457,0.836172688,0.066324156,1.092318284,0.789154059,5.237931874
Arizona,2015,T.J. McConnell,38,30.5,10.4,3.8,6.3,2.2,0.1,2.1,0.498,0.829,0.321,G,N,73,195,0.38123,0.884846627,2.634895044,2.900615563,-0.78336663,1.60945318,1.268834039,0.859024702,-1.325222293,5.211403871
Louisville,2013,Gorgui Dieng,33,31.1,9.8,9.4,2,1.3,2.5,1.8,0.534,0.652,0,C,Y,83,233,-0.599141609,1.551366774,1.470834936,1.779513042,0.457964566,-0.271163072,0.176631846,-1.343302069,-0.92699771,5.108332627
Villanova,2014,James Bell,34,29.5,14.4,6.1,1.6,1.3,0.6,1.7,0.426,0.815,0.371,G,N,78,225,1.467282061,1.91058645,-1.073428134,0.38321711,2.504695038,0.574516009,-0.115489605,0.689029601,-0.117159131,5.07421738
Louisville,2014,Montrezl Harrell,37,29.3,14,8.4,1.2,1,1.3,1.4,0.609,0.464,0.667,PF,N,80,240,0.50120169,0.832704845,-0.364201163,0.036096144,1.455650686,-0.501280412,1.557613615,-0.825146321,1.310631248,5.005831154
Villanova,2015,Josh Hart,36,25.5,10.1,4.5,1.5,1.1,0.4,1.1,0.515,0.67,0.464,G,N,77,205,0.265141165,1.631435968,-0.911131931,0.191550084,1.082889165,-0.430698738,1.657097255,-1.353208679,1.870707296,4.865179062
Gonzaga,2015,Kyle Wiltjer,38,27.6,16.8,6.2,1.9,0.5,0.7,1.1,0.54,0.789,0.466,F,N,82,240,1.71593112,0.183632364,0.726483157,-1.007305,-0.194451266,-0.780395821,0.002867119,1.091763913,1.484507405,4.783824634
Kansas,2013,Ben McLemore,37,32.2,15.9,5.2,2,1,0.7,2.1,0.495,0.87,0.42,SG,Y,77,195,1.056239328,0.854128566,0.831659921,-0.117049165,1.408438136,1.223368903,0.218410331,1.293996953,0.409034245,4.731489412
BYU,2011,Noah Hartsock,37,29.7,8.6,5.9,1.6,0.6,1.6,0.9,0.498,0.828,0.433,F,N,80,230,-0.831043753,-0.029424494,-0.223996018,0.415900196,1.702513062,-1.744895468,0.194820619,1.114242404,0.545680361,4.633587844
Duke,2013,Mason Plumlee,36,34.7,17.1,10,1.9,1,1.4,2.9,0.599,0.681,0,PF,Y,83,235,1.41276713,1.792003432,1.565816601,1.173111451,0.614502433,1.694748586,1.519092456,-1.007244615,-0.797798297,4.577502004
Connecticut,2011,Kemba Walker,41,37.6,23.5,5.4,4.5,1.9,0.2,2.3,0.428,0.819,0.33,PG,Y,73,184,1.194367576,1.970914435,0.275496623,1.53547444,0.232210182,-0.291574644,-0.287504712,0.512073103,-1.298073,4.426533291
Villanova,2015,Daniel Ochefu,36,24,9.2,8.5,1.5,0.9,1.4,1.8,0.644,0.692,0,F,N,83,245,-0.334194445,2.037871358,0.26765169,1.12581147,1.095067654,0.548386253,1.344678678,0.085843178,-0.823136797,4.251206534
Gonzaga,2015,Kevin Pangos,38,33.6,11.6,2.7,4.8,1.3,0.1,1.3,0.449,0.824,0.431,G,N,74,182,0.845585338,-0.288365195,1.526761614,0.684107444,-0.78336663,-0.022668355,0.149722417,0.789457614,1.133185084,4.07975604
Syracuse,2012,Dion Waiters,37,24.1,12.6,2.3,2.5,1.8,0.3,1.3,0.476,0.729,0.363,SG,Y,76,225,-0.071361197,-0.813265235,0.63848154,2.004585854,1.49214688,-0.5815099,0.865608588,-0.46002117,-0.22687391,4.01081125
Wisconsin,2015,Frank Kaminsky III,39,33.6,18.8,8.2,2.6,0.8,1.5,1.6,0.547,0.78,0.416,C,Y,84,240,1.439225736,1.068733429,1.777514462,0.337099931,0.142566487,-0.107832773,-0.994224034,0.952170977,0.351829619,3.878748785
Georgetown,2013,Greg Whittington,13,35.2,12.1,7,2,1.3,0.8,2,0.451,0.606,0.309,F,N,80,205,1.716597259,1.007632946,0.771024583,1.122497216,0.58434871,0.978716765,-0.875128622,-0.525771373,0.932951387,3.755435341
Michigan State,2012,Draymond Green,37,33.2,16.2,10.6,3.8,1.5,1,3,0.449,0.723,0.388,SF,Y,79,230,0.878992099,1.997017313,2.693001882,0.466628263,0.652366523,2.466338635,-0.770500177,-0.149840236,0.443201908,3.74452894
Kansas,2014,Perry Ellis,35,27.8,13.5,6.7,1,0.8,0.6,1.1,0.549,0.763,0.471,F,N,80,225,0.645581488,0.440077772,-0.499350227,0.153767319,-0.128756551,-0.668215256,0.116448721,1.143753853,1.15758108,3.697318712
Duke,2015,Quinn Cook,39,35.8,15.3,3.4,2.6,1,0,1.2,0.453,0.891,0.395,G,N,74,185,2.27734763,0.458224146,-0.098500749,-0.054728596,-1.405451895,-0.226683547,0.241078467,1.721656586,0.328615397,3.694924532
Iowa State,2015,Jameel McKay,25,27.2,11,7.6,0.6,0.8,2.4,1.2,0.583,0.598,0,F,N,81,215,0.15136161,1.312299578,-0.764719113,0.592532353,2.937237539,-0.590569811,0.55765459,-0.888966606,-0.823136797,3.664832965
Missouri,2012,Michael Dixon Jr.,35,26.7,13.5,1.8,3.3,1.2,0.1,1.6,0.487,0.879,0.368,G,N,73,200,1.374285264,-1.247792788,0.564120057,0.520052445,-0.500105697,-0.015484679,1.020371625,1.443991488,0.411504503,3.601911575
Notre Dame,2011,Carleton Scott,30,31.2,11.2,7.4,2.1,0.8,1.9,1.4,0.455,0.889,0.359,SF,N,80,218,-0.681904446,0.039154856,0.677023326,-0.102062073,1.385605835,-0.661107357,-0.036912316,1.18051621,0.433135769,3.555664519
Wisconsin,2015,Nigel Hayes,40,33,12.4,6.2,2,0.9,0.4,1.3,0.497,0.744,0.396,F,N,80,235,0.529016319,0.183632364,0.841191024,1.12581147,-0.747102231,-0.4007438,-0.551920353,0.625099655,1.137865572,3.54433762
